age,male,female
12,0,0.0091354809
13,0,0.0119361473
14,0.0037828623,0.01473656
15,0.0119478096,0.017530243
16,0.0201816407,0.0203026857
17,0.0283112907,0.0230213841
18,0.0359468615,0.0256386713
19,0.0426459447,0.028144603
20,0.0479388729,0.030561194
21,0.0514788664,0.0329059016
22,0.0530440718,0.0351909019
23,0.0528021736,0.0374143762
24,0.0511594513,0.0395636267
25,0.0485572805,0.0416046642
26,0.0454588511,0.0434913697
27,0.0423665413,0.0451684436
28,0.0397624277,0.0465839247
29,0.0379124865,0.0477280822
30,0.0369371409,0.0485887867
31,0.0366312026,0.0490688815
32,0.0367173748,0.0490530847
33,0.0370216726,0.0484559749
34,0.0374207473,0.0472460691
35,0.0378736753,0.0455463476
36,0.0383465439,0.04351501
37,0.0387773411,0.0413189547
38,0.0390657518,0.0391034675
39,0.0390339835,0.0369600716
40,0.0385258156,0.0349600531
41,0.0374496883,0.0331494634
42,0.0357965449,0.0315328185
43,0.0336818308,0.0300510188
44,0.0312561306,0.0286485492
45,0.0287005791,0.027283719
46,0.0261225123,0.0259307124
47,0.0235384344,0.0245815358
48,0.020954112,0.0232325873
49,0.0183697896,0.021883664
50,0.0157854671,0.0205347416
