maleshape,femaleshape,malescale,femalescale
1.7017372308,1.3844515687,10.4451925075,9.7685569755
1.5686296566,1.2769799731,8.7882037387,8.1516328017
1.4516158824,1.1804132631,7.3936753532,6.6905302412
1.3503025741,1.0966800396,6.3597357187,5.6547552711
1.2637608752,1.0269635855,5.7047097415,5.0948416668
1.1901300406,0.9714311163,5.3653159524,4.8396904925
1.1281796878,0.9299479672,5.290108211,4.7537770072
1.0795528427,0.9015663385,5.3841629747,4.751698572
1.0461786647,0.88527858,5.5380705875,4.7679772082
1.0254030537,0.8789505024,5.6171877007,4.7970127222
1.0124108737,0.8798519934,5.4769363223,4.8662059865
1.0033093397,0.8843100918,5.1347739135,4.9308557315
0.994926146,0.8875439455,4.7503033203,4.8711132043
0.9854892896,0.8868466866,4.428683586,4.6374444639
0.9753712894,0.8831587394,4.2071572467,4.3001303706
0.9655160615,0.8782749913,4.083694091,3.9424227522
0.9579319759,0.8753667011,3.9765286595,3.65194309
0.9545725203,0.8777449442,3.8222317424,3.4896598663
0.9564077418,0.8884256006,3.67672576,3.475683979
0.9641174315,0.9103684683,3.6139928486,3.6222197075
0.9779798448,0.9446181827,3.6248607364,3.8479594084
0.9980640706,0.9912280031,3.659691008,3.9974854678
1.0237112839,1.0493258317,3.6608506552,3.9778063116
1.0534868681,1.116788571,3.5649566495,3.7854813166
1.0859830474,1.1920011726,3.3288066732,3.4520621431
1.1199264222,1.2746923289,2.9470784186,3.0355840887
1.1540718692,1.3647223372,2.454457384,2.5830243287
1.1874705169,1.4622506246,1.9232717942,2.1170592509
1.2193841787,1.5675208786,1.4245530208,1.6650578126
