maleshape,malescale,femaleshape,femalescale
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
4.6343145987,31.7380239576,4.9773707649,30.953960875
